iter	Passed	Remaining
1438	11406	483
1439	11414	475
1440	11422	467
1441	11431	459
1442	11439	451
1443	11447	443
1444	11455	436
1445	11464	428
1446	11472	420
1447	11480	412
1448	11488	404
1449	11496	396
1450	11504	388
1451	11512	380
1452	11520	372
1453	11527	364
1454	11536	356
1455	11544	348
1456	11552	340
1457	11560	333
1458	11569	325
1459	11577	317
1460	11585	309
1461	11593	301
1462	11601	293
1463	11609	285
1464	11617	277
1465	11625	269
1466	11634	261
1467	11642	253
1468	11650	245
1469	11659	237
1470	11667	230
1471	11675	222
1472	11683	214
1473	11691	206
1474	11700	198
1475	11708	190
1476	11716	182
1477	11724	174
1478	11732	166
1479	11740	158
1480	11748	150
1481	11756	142
1482	11765	134
1483	11773	126
1484	11781	119
1485	11789	111
1486	11797	103
1487	11806	95
1488	11814	87
1489	11822	79
1490	11830	71
1491	11838	63
1492	11846	55
1493	11854	47
1494	11862	39
1495	11871	31
1496	11879	23
1497	11887	15
1498	11895	7
1499	11904	0
